Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?a  mother  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.234672304,0.700315457,0.89516129,222,317,248,?b,0.8247422680412371,0.7093023255813954,0.7239819004524887,0.27601809954751133,160,61,194,86
?a  predecessor  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.073995772,0.253623188,0.445859873,70,276,157,?b,0.5192307692307693,0.5942028985507246,0.39705882352941174,0.6029411764705882,27,41,52,69
?a  predecessor  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.078224101,0.276119403,0.477419355,74,268,155,?b,0.46938775510204084,0.6533333333333333,0.3194444444444444,0.6805555555555556,23,49,49,75
?e  child  ?a  ?e  name  ?b   ,?a  mother  ?b,0.100490196,0.036219081,0.16872428,41,1132,243,?a,0.24193548387096775,0.13095238095238096,0.7317073170731707,0.2682926829268293,30,11,124,84
?e  gender  ?b  ?e  predecessor  ?a   ,?a  gender  ?b,0.108744395,0.492385787,0.898148148,97,197,108,?a,0.8478260869565217,0.9354838709677419,0.4020618556701031,0.5979381443298969,39,58,46,62
?a  parent  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.453488372,0.614613181,0.837890625,429,698,512,?b,0.5918367346938775,0.6571428571428571,0.6541353383458647,0.3458646616541353,174,92,294,140
?a  parent  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.454545455,0.624092888,0.853174603,430,689,504,?b,0.6170212765957447,0.647887323943662,0.6541353383458647,0.3458646616541353,174,92,282,142
?a  father  ?f  ?f  name  ?b   ,?a  parent  ?b,0.013742072,0.034759358,0.928571429,13,374,14,?b,0.038135593220338986,0.0380952380952381,0.6923076923076923,0.3076923076923077,9,4,236,105
?a  father  ?f  ?f  spouse  ?b   ,?a  parent  ?b,0.231501057,0.538083538,0.784946237,219,407,279,?b,0.6792452830188679,0.7894736842105263,0.6575342465753424,0.3424657534246575,144,75,212,95
?a  father  ?f  ?b  name  ?f   ,?a  parent  ?b,0.013742072,0.8125,0.928571429,13,16,14,?b,1.0,1.0,0.6923076923076923,0.3076923076923077,9,4,9,4
?a  father  ?f  ?b  spouse  ?f   ,?a  parent  ?b,0.248414376,0.547785548,0.813148789,235,429,289,?b,0.7256637168141593,0.7608695652173914,0.7008547008547008,0.29914529914529914,164,70,226,92
?e  predecessor  ?b  ?e  successor  ?a   ,?a  parent  ?b,0.017970402,0.0609319,0.108974359,17,279,156,?b,0.16666666666666666,0.12,0.4375,0.5625,7,9,42,75
?b  spouse  ?e  ?e  successor  ?a   ,?a  parent  ?b,0.071881607,0.250922509,0.447368421,68,271,152,?b,0.5106382978723404,0.6307692307692307,0.36923076923076925,0.6307692307692307,24,41,47,65
?b  name  ?f  ?f  spouse  ?a   ,?a  spouse  ?b,0.071676301,0.746987952,0.885714286,62,83,70,?a,1.0,0.8372093023255814,0.4098360655737705,0.5901639344262295,25,36,25,43
?e  child  ?a  ?e  name  ?b   ,?a  parent  ?b,0.049682875,0.041519435,0.279761905,47,1132,168,?b,0.18518518518518517,0.15454545454545454,0.6382978723404256,0.3617021276595745,30,17,162,110
?e  mother  ?b  ?e  name  ?a   ,?a  parent  ?b,0.038054968,0.1125,0.137931034,36,320,261,?b,0.868421052631579,0.75,0.9166666666666666,0.08333333333333333,33,3,38,4
?b  name  ?f  ?a  spouse  ?f   ,?a  spouse  ?b,0.09017341,0.939759036,0.939759036,78,83,83,?a,1.0,0.8958333333333334,0.4266666666666667,0.5733333333333334,32,43,32,48
?e  child  ?a  ?e  gender  ?b   ,?a  gender  ?b,0.218609865,0.175044883,0.635179153,195,1114,307,?a,0.7657142857142857,0.7093023255813954,0.6871794871794872,0.3128205128205128,134,61,175,86
?e  father  ?b  ?e  name  ?a   ,?a  parent  ?b,0.057082452,0.116883117,0.143236074,54,462,377,?b,0.8032786885245902,0.8333333333333334,0.9074074074074074,0.09259259259259259,49,5,61,6
?f  parent  ?a  ?b  successor  ?f   ,?a  spouse  ?b,0.077456647,0.168765743,0.238434164,67,397,281,?a,0.4789915966386555,0.1282051282051282,0.8507462686567164,0.14925373134328357,57,10,119,78
?e  child  ?a  ?b  spouse  ?e   ,?a  parent  ?b,0.235729387,0.166169896,0.243982495,223,1342,914,?b,0.7843137254901961,0.82,0.594059405940594,0.40594059405940597,120,82,153,100
?a  child  ?f  ?b  successor  ?f   ,?a  spouse  ?b,0.046242775,0.126984127,0.173913043,40,315,230,?a,0.5344827586206896,0.09473684210526316,0.775,0.225,31,9,58,95
?e  child  ?a  ?e  spouse  ?b   ,?a  parent  ?b,0.236786469,0.167039523,0.242950108,224,1341,922,?b,0.7261146496815286,0.8240740740740741,0.5615763546798029,0.43842364532019706,114,89,157,108
?b  child  ?f  ?f  mother  ?a   ,?a  spouse  ?b,0.114450867,0.365313653,0.502538071,99,271,197,?a,0.6174496644295302,0.75,0.9387755102040817,0.061224489795918366,92,6,149,8
?b  child  ?f  ?f  predecessor  ?a   ,?a  spouse  ?b,0.042774566,0.124161074,0.216374269,37,298,171,?a,0.21212121212121213,0.3225806451612903,0.1891891891891892,0.8108108108108109,7,30,33,93
?b  child  ?f  ?f  father  ?a   ,?a  spouse  ?b,0.097109827,0.301075269,0.415841584,84,279,202,?a,0.0,0.5466666666666666,0.0,1.0,0,82,0,150
?b  child  ?f  ?a  successor  ?f   ,?a  spouse  ?b,0.050867052,0.13968254,0.232804233,44,315,189,?a,0.2857142857142857,0.35555555555555557,0.2727272727272727,0.7272727272727273,12,32,42,90
?b  child  ?f  ?f  parent  ?a   ,?a  spouse  ?b,0.21849711,0.34935305,0.478481013,189,541,395,?a,0.6369426751592356,0.564935064935065,0.5347593582887701,0.46524064171123,100,87,157,154
?a  child  ?f  ?f  predecessor  ?b   ,?a  spouse  ?b,0.041618497,0.120805369,0.168224299,36,298,214,?a,0.5517241379310345,0.0425531914893617,0.8888888888888888,0.1111111111111111,32,4,58,94
?a  child  ?f  ?f  mother  ?b   ,?a  spouse  ?b,0.112138728,0.357933579,0.482587065,97,271,201,?a,0.0,0.9056603773584906,0.0,1.0,0,96,91,106
